Item Name,Course of Action,Market Price,Cheapest Buy/Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour
Weeds,Market Buy,3530,3530.0,-547.1500000000001,-0.15500000000000003,0.0,0.0
Whale Tendon Elixir,Market Buy,1590000,1590000.0,-246450.0,-0.155,0.0,0.0
Whale Tendon Potion,Market Buy,381000,381000.0,-59055.0,-0.155,0.0,0.0
Wheat,Market Buy,920,920.0,-142.60000000000002,-0.15500000000000003,0.0,0.0
Wheat Flour,Craft,1110,368.0,569.9499999999999,1.5487771739130434,2.4,854925.0
White Cedar Plank,Craft,2860,1840.0,576.6999999999998,0.31342391304347816,2.4,865049.9999999998
White Cedar Plywood,Craft,13700,7360.0,4216.5,0.5728940217391304,12.0,1264950.0
White Cedar Timber,Market Buy,920,920.0,-142.60000000000002,-0.15500000000000003,0.0,0.0
Wild Grass,Market Buy,3130,3130.0,-485.1500000000001,-0.15500000000000003,0.0,0.0
Wolf Blood,Market Buy,8500,8500.0,-1317.5,-0.155,0.0,0.0
Worm Hide,Market Buy,8150,8150.0,-1263.25,-0.155,0.0,0.0
Yak Hide,Market Buy,7750,7750.0,-1201.25,-0.155,0.0,0.0
Zinc Ingot,Craft,15400,10640.0,2373.0,0.22302631578947368,12.0,711900.0
Zinc Ore,Market Buy,1330,1330.0,-206.1500000000001,-0.15500000000000008,0.0,0.0
