Item Name,Market Price,Hand Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour
Item 6,2000,703.0000001406,986.9999998594,1.4039829298179232,12.0000000006,296099.999943015
Lead Ingot,8350,2936.0,4119.75,1.4031846049046321,16.8,882803.5714285714
Lead Ore,367,367.0,-56.88499999999999,-0.15499999999999997,0.0,0.0
Leavening Agent,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0
Lizard Hide,7850,7850.0,-1216.75,-0.155,0.0,0.0
Loopy Tree Plank,1800,896.0,625.0,0.6975446428571429,2.4,937500.0000000001
Loopy Tree Plywood,14300,3584.0,8499.5,2.3715122767857144,12.0,2549850.0
Loopy Tree Timber,448,448.0,-69.44,-0.155,0.0,0.0
Maple Plank,2310,966.0,985.95,1.0206521739130434,2.4,1478925.0000000002
Maple Plywood,12300,3864.0,6529.5,1.6898291925465838,12.0,1958850.0
Maple Timber,483,483.0,-74.86500000000001,-0.15500000000000003,0.0,0.0
Meat Stew,9400,16362.4,-8419.4,-0.5145577665868087,2.88,-10524250.0
Melted Copper Shard,1160,678.0,302.19999999999993,0.4457227138643067,3.6,302199.99999999994
Melted Iron Shard,2200,1060.0,799.0,0.7537735849056604,3.6,799000.0
Melted Lead Shard,1270,734.0,339.14999999999986,0.4620572207084467,3.6,339149.9999999999
Melted Tin Shard,3550,2060.0,939.75,0.45618932038834953,3.6,939750.0000000001
Melted Zinc Shard,4190,2660.0,880.5499999999997,0.33103383458646607,2.4,1320824.9999999998
Mineral Water,30,30.0,-4.650000000000002,-0.15500000000000008,0.0,0.0
Moss Tree Plank,1700,850.0,586.5,0.69,2.4,879750.0
Moss Tree Plywood,13600,3400.0,8092.0,2.38,12.0,2427600.0
Moss Tree Timber,425,425.0,-65.875,-0.155,0.0,0.0
MP Potion (Medium),120,57.6,43.79999999999999,0.7604166666666665,2.4,65699.99999999999
MP Potion (Small),48,48.0,-7.439999999999998,-0.15499999999999994,0.0,0.0
Mud Crystal,5850,3120.0,1823.25,0.584375,2.4,2734875.0
Noc Ore,468,468.0,-72.54000000000002,-0.15500000000000005,0.0,0.0
Palm Plank,1690,1050.0,378.04999999999995,0.360047619047619,2.4,567074.9999999999
Palm Plywood,12700,4200.0,6531.5,1.5551190476190475,12.0,1959449.9999999998
Palm Timber,525,525.0,-81.375,-0.155,0.0,0.0
Pine Plank,2210,1300.0,567.45,0.43650000000000005,2.4,851175.0000000001
Pine Plywood,13700,5200.0,6376.5,1.22625,12.0,1912950.0
Pine Sap,4930,4930.0,-764.1500000000005,-0.1550000000000001,0.0,0.0
Pine Timber,650,650.0,-100.75,-0.155,0.0,0.0
Platinum Ore,2890,2890.0,-447.9500000000003,-0.15500000000000008,0.0,0.0
Plywood Hardener,138000,104630.70615034169,11979.293849658308,0.11449118801172486,6.396355353075171,6742192.307692304
Pork,8000,8000.0,-1240.0,-0.155,0.0,0.0
Powder of Darkness,1870,1870.0,-289.85000000000014,-0.15500000000000008,0.0,0.0
Processed Coal,2140,1580.0,228.29999999999995,0.14449367088607593,2.4,342449.99999999994
Pure Copper Crystal,172000,97654.4,47685.600000000006,0.48830979454074785,22.560000000000002,7609404.255319149
Pure Iron Crystal,193000,125287.27737936871,37797.72262063129,0.3016884348614276,28.41027036103408,4789528.565025591
Pure Powder Reagent,3340,2469.6,352.6999999999998,0.14281665046971162,3.3600000000000003,377892.8571428569
Pure Tin Crystal,84000,104288.0,-33308.0,-0.3193847806075483,22.560000000000002,-5315106.382978723
Pure Zinc Crystal,111000,107168.0,-13373.0,-0.12478538369662585,16.8,-2865642.857142857
Purified Water,4600,2400.0,1487.0,0.6195833333333334,2.4,2230500.0
Resplendent Emerald,54500,127320.95490716181,-81268.45490716181,-0.6382959895833333,7.174535809018567,-40778448.31410826
Rough Emerald,32000,32000.0,-4960.0,-0.155,0.0,0.0
Rough Mud Crystal,1560,1560.0,-241.79999999999995,-0.15499999999999997,0.0,0.0
Salt,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0
Shining Fluid Collector,248000,146987.27737936872,62572.72262063128,0.42570162354346763,1847.610270361034,121920.62636145396
Shining Steel Butcher Knife,162000,206110.27737936872,-69220.27737936872,-0.33584097920532685,1850.0102703610341,-134698.17036047956
Shining Steel Hoe,46000,147470.27737936872,-108600.27737936872,-0.7364214627466487,1847.610270361034,-211603.60755590044
Shining Steel Lumbering Axe,41200,151170.27737936872,-116356.27737936872,-0.7697034059636427,1857.210270361034,-225543.98134159486
Shining Steel Pickaxe,9000,143770.27737936872,-136165.27737936872,-0.9471031138102866,1838.0102703610341,-266698.72659059736
Shining Steel Tanning Knife,240000,208970.27737936872,-6170.277379368723,-0.029527057420549244,1850.0102703610341,-12006.95959454997
Ship License: Fishing Boat,6000000,1411000.0,3659000.0,2.5931963146704464,91212.0,144415.20852519406
Silver Azalea,224,224.0,-34.72,-0.155,0.0,0.0
Spirit's Leaf,2250,2250.0,-348.75,-0.155,0.0,0.0
Steel,8000,3700.0,3060.0,0.827027027027027,9.6,1147500.0
Steel Taritas Armor,307000,114144.0,145271.0,1.2726993972525933,73.44,7121127.450980392
Steel Taritas Gloves,213000,152984.0,27001.0,0.17649558123725356,48.480000000000004,2005024.7524752475
Steel Taritas Helmet,265000,50144.0,173781.0,3.465638959795788,33.12,18889239.130434785
Steel Taritas Shoes,224000,79184.0,110096.0,1.3903818953323903,45.6,8691789.47368421
Sturdy Acacia Plywood,215000,160436.84738041004,21238.152619589964,0.1323770253926295,58.07562642369021,1316513.5554927976
Sturdy Ash Plywood,244000,169746.05922551255,36433.94077448745,0.21463791819805314,72.59453302961276,1806777.746399321
Sturdy Birch Plywood,230000,145076.84738041004,49273.152619589964,0.33963484532021476,58.07562642369021,3054351.030782264
Sturdy Cedar Plywood,94000,148756.84738041004,-69326.84738041004,-0.4660413863378216,58.07562642369021,-4297442.247952556
Sturdy Elder Tree Plywood,312000,141076.84738041004,122563.15261958996,0.8687687235390342,58.07562642369021,7597461.733973452
Sturdy Fir Plywood,85500,164916.84738041004,-92669.34738041004,-0.5619155886884722,58.07562642369021,-5744400.381248235
Sturdy Loopy Tree Plywood,278000,139892.84738041004,95017.15261958996,0.6792138011260163,58.07562642369021,5889936.458627505
Sturdy Maple Plywood,247000,141012.84738041004,67702.15261958996,0.48011336468477955,58.07562642369021,4196730.443377576
Sturdy Moss Tree Plywood,172000,139156.84738041004,6183.152619589964,0.04443297427317547,58.07562642369021,383282.12369387096
Sturdy Palm Plywood,225000,142356.84738041004,47768.152619589964,0.33555219505488587,58.07562642369021,2961058.881671843
Sturdy Pine Plywood,192000,146356.84738041004,15883.152619589964,0.10852346783821154,58.07562642369021,984567.0714487424
Sturdy Thuja Plywood,324000,139156.84738041004,134623.15261958996,0.9674202538634236,58.07562642369021,8345038.689635695
Sugar,20,20.0,-3.1000000000000014,-0.15500000000000008,0.0,0.0
Sunrise Herb,223,223.0,-34.565,-0.155,0.0,0.0
Thuja Plank,1810,850.0,679.45,0.7993529411764706,2.4,1019175.0000000001
Thuja Plywood,14700,3400.0,9021.5,2.6533823529411764,12.0,2706450.0
Thuja Timber,425,425.0,-65.875,-0.155,0.0,0.0
Tin Ingot,8650,8240.0,-930.75,-0.11295509708737864,16.8,-199446.42857142858
Tin Ore,1030,1030.0,-159.64999999999998,-0.15499999999999997,0.0,0.0
Titanium Ore,2670,2670.0,-413.8499999999999,-0.15499999999999997,0.0,0.0
Trace of Forest,27100,27100.0,-4200.5,-0.155,0.0,0.0
Trace of Origin,62000,62000.0,-9610.0,-0.155,0.0,0.0
Trace of Savagery,33700,33700.0,-5223.5,-0.155,0.0,0.0
Trace of the Earth,39800,39800.0,-6169.0,-0.155,0.0,0.0
Vanadium Ore,2030,2030.0,-314.6500000000001,-0.15500000000000005,0.0,0.0
Weeds,3530,3530.0,-547.1500000000001,-0.15500000000000003,0.0,0.0
Whale Tendon Elixir,1590000,1999701.632,-656151.632,-0.32812476696523496,11.3856,-207467843.1703204
Whale Tendon Potion,381000,1983864.3199999998,-1661919.3199999998,-0.8377182366987678,15.839999999999998,-377708936.3636364
Wheat,920,920.0,-142.60000000000002,-0.15500000000000003,0.0,0.0
Wheat Flour,1110,368.0,569.9499999999999,1.5487771739130434,2.4,854925.0
White Cedar Plank,2860,1840.0,576.6999999999998,0.31342391304347816,2.4,865049.9999999998
White Cedar Plywood,13700,7360.0,4216.5,0.5728940217391304,12.0,1264950.0
White Cedar Timber,920,920.0,-142.60000000000002,-0.15500000000000003,0.0,0.0
Wild Grass,3130,3130.0,-485.1500000000001,-0.15500000000000003,0.0,0.0
Wolf Blood,8500,8500.0,-1317.5,-0.155,0.0,0.0
Worm Hide,8150,8150.0,-1263.25,-0.155,0.0,0.0
Yak Hide,7750,7750.0,-1201.25,-0.155,0.0,0.0
Zinc Ingot,15400,10640.0,2373.0,0.22302631578947368,12.0,711900.0
Zinc Ore,1330,1330.0,-206.1500000000001,-0.15500000000000008,0.0,0.0
